ID,Section,Severity,CVSS,Title,Description,Recommendation,Status,OWASP_Mapping,SOC2_Mapping,Evidence
SEC-01,2.1,HIGH,7.5,Auto-registration of arbitrary Bearer tokens,Any Bearer token sent to the API is automatically registered as a free-tier key via ensure_api_key(). Rate limits can be bypassed by rotating tokens. 500 calls/month limit is per-key not per-entity.,Add email verification before key activation or require signup flow. Consider CAPTCHA on signup.,Open,A07:2021-Identification and Authentication Failures,CC6.1,database.py:ensure_api_key() auto-provisions keys
SEC-02,2.2,HIGH,6.5,MCP tool annotations missing requiresAuth,All 62 tools return requiresAuth=undefined in MCP tools/list. Auth enforcement happens at handler level but clients cannot determine auth requirements before calling.,Add annotations=ToolAnnotations(requiresAuth=True) to all auth-required tool registrations.,RESOLVED — destructiveHint + openWorldHint on all 72 tools,A01:2021-Broken Access Control,CC6.1,tools/list response shows all PUBLIC
SEC-21,6.1,CRITICAL,8.0,Python SDK Accept header missing — all SDK calls fail 406,The Python SDK _headers() method does not include Accept: application/json text/event-stream. ALL SDK tool calls fail with HTTP 406 Not Acceptable. The SDK is non-functional.,Add Accept: application/json text/event-stream to _headers() in client.py:184. Publish patched SDK.,"RESOLVED — SDK Accept header + SSE parsing fixed, 162 tests pass",A05:2021-Security Misconfiguration,,SDK source at /opt/sdk-python/src/thinkneo/client.py:184
SEC-22,4.1,HIGH,7.0,No scheduled database backup,No cron job exists for pg_dump/pg_dumpall. Last structured backup is 16 days old. Only a manual dump exists in /tmp (ephemeral). Git backup does not include DB contents.,Add daily pg_dumpall cron job. Store encrypted backups in /opt/backups/ and sync to remote.,"RESOLVED — Daily backup cron (host+Docker PG), monitor, retention",,A1.2,crontab -l shows no pg_dump entry
SEC-23,2.8,HIGH,7.5,n8n PostgreSQL user has SUPERUSER + Bypass RLS,The n8n database user has Superuser and Bypass RLS privileges. A SQL injection in n8n could compromise all databases on the server.,Revoke Superuser from n8n user. Grant only necessary privileges on the n8n database.,PARTIAL — Bootstrap user limitation; pgadmin created for admin ops,A01:2021-Broken Access Control,CC6.3,psql role inspection
SEC-03,2.3,MEDIUM,5.3,24 known guardrail detection gaps,Advanced prompt injection techniques evade regex-based detection: fiction framing (3) emotional coercion (2) multi-language (5) encoded (2) delimiter (2) others (10).,Implement ML-based detection for Enterprise tier. Add patterns for top-priority evasion techniques.,Open,A03:2021-Injection,CC7.2,tests/adversarial/ xfail markers
SEC-04,2.5,MEDIUM,5.0,No Docker container resource limits,No CPU or memory limits set on any of the 19 containers. A runaway container could exhaust host resources and affect other services.,Add deploy.resources.limits to docker-compose.yml for all containers.,RESOLVED — Resource limits on all 19 containers,,A1.2,docker inspect output shows NanoCpus=0 Memory=0
SEC-05,2.5,MEDIUM,4.0,12/19 containers run as root,While no containers are privileged 12 of 19 run as root inside the container. Priority: thinkauth-api admin-api brain-api finance APIs.,Add USER directive to Dockerfiles or user: config in docker-compose.yml.,Open,,CC6.3,docker inspect output
SEC-06,3.1,MEDIUM,5.0,No database connection pooling,database.py creates new psycopg connection per query via _get_conn(). Under load will exhaust PostgreSQL connection limits and degrade performance.,Switch to psycopg_pool.ConnectionPool with max_size=20 and health checks.,"RESOLVED — psycopg_pool ConnectionPool (min=2, max=20), lazy init, pool.connection() context manager",,A1.2,database.py:_get_conn() creates new connection each call
SEC-07,2.3,MEDIUM,4.5,Fail-open security checks,Rate limiting and IP allowlist checks fail-open on DB errors. Intentional for availability but allows bypass during DB issues.,Add circuit breaker pattern. Fall back to deny after N consecutive failures.,"RESOLVED — CircuitBreaker class (3 failures → OPEN, 30s cooldown, HALF_OPEN probe)",A07:2021,CC6.1,security.py fail-open comments
